Pre_Max;Pre_Min;Pre_MinNZ;Pre_Avg;Pre_AvgNZ;Post_Max;Post_Min;Post_MinNZ;Post_Avg;Post_AvgNZ;Min_MinNZ;Plaintext;PTHeight;CTHeight;ToBeProtected_pre;ToBeProtected_post;ToBeProtected;SourceLine;SourceColumn;IsAKeyOp;IsAKeyStart;PreKeyStart;SubKey;PostKeyStart;Sbox;post_FirstToMeetKey;HasBeenMasked;Origin;ValueSize;keydep_own.count;KD_Max;KD_Min;KD_MinNZ;KD_Avg;KD_AvgNZ;FK_min;FOH_of_fk_min;BYTE_FK_min;BYTE_FOH_of_fk_min;WORD_FK_min;WORD_FOH_of_fk_minpre;pre_own;post;post_own;"Full instruction"
0;0;0;0;0;0;0;0;0;0;0;0;0;4294967295;0;0;0;455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"  tail call void @llvm.crypto.key(metadata !{i8* %_key}), !dbg !49"
0;0;0;0;0;0;0;0;0;0;0;0;0;4294967295;0;0;0;455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"  tail call void @llvm.crypto.plain(metadata !{i32* %_io}), !dbg !49"
0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;469;0;1;1;0;0;0;0;0;0;0;1;8;1;1;1;1;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 ;"  %0 = load i8* %_key, align 1, !dbg !68"
0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;469;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %conv = zext i8 %0 to i32, !dbg !68"
0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;469;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %shl = shl nuw i32 %conv, 24, !dbg !68"
0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;469;0;1;1;0;0;0;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 ;"  %arrayidx1 = getelementptr inbounds i8* %_key, i64 1, !dbg !68"
0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;469;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 ;"  %1 = load i8* %arrayidx1, align 1, !dbg !68"
0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;469;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %conv2 = zext i8 %1 to i32, !dbg !68"
0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;469;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %shl3 = shl nuw nsw i32 %conv2, 16, !dbg !68"
0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;469;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %xor = xor i32 %shl3, %shl, !dbg !68"
0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;469;0;1;1;0;0;0;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 ;"  %arrayidx4 = getelementptr inbounds i8* %_key, i64 2, !dbg !68"
0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;469;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 ;"  %2 = load i8* %arrayidx4, align 1, !dbg !68"
0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;469;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;42912 42912 42912 42912 42912 42912 42912 42912 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %conv5 = zext i8 %2 to i32, !dbg !68"
0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;469;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %shl6 = shl nuw nsw i32 %conv5, 8, !dbg !68"
0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;469;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %xor7 = xor i32 %xor, %shl6, !dbg !68"
