Pre_Max;Pre_Min;Pre_MinNZ;Pre_Avg;Pre_AvgNZ;Post_Max;Post_Min;Post_MinNZ;Post_Avg;Post_AvgNZ;Min_MinNZ;Plaintext;PTHeight;CTHeight;ToBeProtected_pre;ToBeProtected_post;ToBeProtected;SourceLine;SourceColumn;IsAKeyOp;IsAKeyStart;PreKeyStart;SubKey;PostKeyStart;Sbox;post_FirstToMeetKey;HasBeenMasked;Origin;ValueSize;keydep_own.count;KD_Max;KD_Min;KD_MinNZ;KD_Avg;KD_AvgNZ;FK_min;FOH_of_fk_min;BYTE_FK_min;BYTE_FOH_of_fk_min;WORD_FK_min;WORD_FOH_of_fk_minpre;pre_own;post;post_own;"Full instruction"
0;0;0;0;0;0;0;0;0;0;0;0;0;4294967295;0;0;0;307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"  tail call void @llvm.crypto.key(metadata !{i8* %_key}), !dbg !45"
0;0;0;0;0;0;0;0;0;0;0;0;0;4294967295;0;0;0;307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"  tail call void @llvm.crypto.plain(metadata !{i8* %_input}), !dbg !45"
0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;0;0;313;0;1;1;0;0;0;0;0;0;0;8;8;1;1;1;1;1;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 58077 ;"  %0 = load i8* %_key, align 1, !dbg !60"
0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;313;0;1;0;0;0;0;0;0;0;0;32;0;1;0;1;0;1;0;0;0;0;0;0;60;60;0;27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077 58077 58077 ;"  %conv = zext i8 %0 to i32, !dbg !60"
0;0;0;0;0;0;0;0;0;0;0;0;0;57;0;0;0;313;0;1;0;0;0;0;0;0;0;0;32;0;1;0;1;0;1;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 ;"  %shl = shl nuw i32 %conv, 24, !dbg !60"
0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;313;0;1;1;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 58077 ;"  %arrayidx1 = getelementptr inbounds i8* %_key, i64 1, !dbg !60"
0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;0;0;313;0;1;0;0;0;0;0;0;0;0;8;0;1;1;1;1;1;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 58077 ;"  %1 = load i8* %arrayidx1, align 1, !dbg !60"
0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;313;0;1;0;0;0;0;0;0;0;0;32;0;1;0;1;0;1;0;0;0;0;0;0;60;60;0;27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 ;"  %conv2 = zext i8 %1 to i32, !dbg !60"
0;0;0;0;0;0;0;0;0;0;0;0;0;57;0;0;0;313;0;1;0;0;0;0;0;0;0;0;32;0;1;0;1;0;1;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 ;"  %shl3 = shl nuw nsw i32 %conv2, 16, !dbg !60"
0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;0;313;0;1;0;0;0;0;0;0;0;0;32;0;1;0;1;0;1;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 ;"  %or = or i32 %shl3, %shl, !dbg !60"
0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;0;0;313;0;1;1;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 58077 ;"  %arrayidx4 = getelementptr inbounds i8* %_key, i64 2, !dbg !60"
0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;313;0;1;0;0;0;0;0;0;0;0;8;0;1;1;1;1;1;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 58077 ;"  %2 = load i8* %arrayidx4, align 1, !dbg !60"
0;0;0;0;0;0;0;0;0;0;0;0;0;57;0;0;0;313;0;1;0;0;0;0;0;0;0;0;32;0;1;0;1;0;1;0;0;0;0;0;0;60;60;0;27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 ;"  %conv5 = zext i8 %2 to i32, !dbg !60"
0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;0;313;0;1;0;0;0;0;0;0;0;0;32;0;1;0;1;0;1;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 ;"  %shl6 = shl nuw nsw i32 %conv5, 8, !dbg !60"
0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;0;0;313;0;1;0;0;0;0;0;0;0;0;32;0;1;0;1;0;1;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 ;"  %or7 = or i32 %or, %shl6, !dbg !60"
0;0;0;0;0;0;0;0;0;0;0;0;0;57;0;0;0;313;0;1;1;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 58077 ;"  %arrayidx8 = getelementptr inbounds i8* %_key, i64 3, !dbg !60"
0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;0;313;0;1;0;0;0;0;0;0;0;0;8;0;1;1;1;1;1;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 58077 ;"  %3 = load i8* %arrayidx8, align 1, !dbg !60"
0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;0;0;313;0;1;0;0;0;0;0;0;0;0;32;0;1;0;1;0;1;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 ;"  %conv9 = zext i8 %3 to i32, !dbg !60"
0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;313;0;1;0;0;0;0;0;0;0;0;32;0;1;1;1;1;1;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 ;"  %or10 = or i32 %or7, %conv9, !dbg !60"
0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;314;0;1;1;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 27986 ;"  %arrayidx11 = getelementptr inbounds i8* %_key, i64 4, !dbg !63"
0;0;0;0;0;0;0;0;0;0;0;0;0;57;0;0;0;314;0;1;0;0;0;0;0;0;0;0;8;0;1;1;1;1;1;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 27986 ;"  %4 = load i8* %arrayidx11, align 1, !dbg !63"
0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;0;314;0;1;0;0;0;0;0;0;0;0;32;0;1;0;1;0;1;0;0;0;0;0;0;60;60;0;27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077 58077 27986 ;"  %conv12 = zext i8 %4 to i32, !dbg !63"
0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;0;0;314;0;1;0;0;0;0;0;0;0;0;32;0;1;0;1;0;1;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 ;"  %shl13 = shl nuw i32 %conv12, 24, !dbg !63"
0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;314;0;1;1;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 27986 ;"  %arrayidx14 = getelementptr inbounds i8* %_key, i64 5, !dbg !63"
0;0;0;0;0;0;0;0;0;0;0;0;0;57;0;0;0;314;0;1;0;0;0;0;0;0;0;0;8;0;1;1;1;1;1;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 27986 ;"  %5 = load i8* %arrayidx14, align 1, !dbg !63"
0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;0;314;0;1;0;0;0;0;0;0;0;0;32;0;1;0;1;0;1;0;0;0;0;0;0;60;60;0;27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 ;"  %conv15 = zext i8 %5 to i32, !dbg !63"
0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;0;0;314;0;1;0;0;0;0;0;0;0;0;32;0;1;0;1;0;1;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 ;"  %shl16 = shl nuw nsw i32 %conv15, 16, !dbg !63"
0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;314;0;1;0;0;0;0;0;0;0;0;32;0;1;0;1;0;1;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 ;"  %or17 = or i32 %shl16, %shl13, !dbg !63"
0;0;0;0;0;0;0;0;0;0;0;0;0;57;0;0;0;314;0;1;1;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 27986 ;"  %arrayidx18 = getelementptr inbounds i8* %_key, i64 6, !dbg !63"
0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;0;314;0;1;0;0;0;0;0;0;0;0;8;0;1;1;1;1;1;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 27986 ;"  %6 = load i8* %arrayidx18, align 1, !dbg !63"
0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;0;0;314;0;1;0;0;0;0;0;0;0;0;32;0;1;0;1;0;1;0;0;0;0;0;0;60;60;0;27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 ;"  %conv19 = zext i8 %6 to i32, !dbg !63"
0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;314;0;1;0;0;0;0;0;0;0;0;32;0;1;0;1;0;1;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 ;"  %shl20 = shl nuw nsw i32 %conv19, 8, !dbg !63"
0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;0;314;0;1;0;0;0;0;0;0;0;0;32;0;1;0;1;0;1;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 ;"  %or21 = or i32 %or17, %shl20, !dbg !63"
0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;0;0;314;0;1;1;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 27986 ;"  %arrayidx22 = getelementptr inbounds i8* %_key, i64 7, !dbg !63"
0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;314;0;1;0;0;0;0;0;0;0;0;8;0;1;1;1;1;1;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 27986 ;"  %7 = load i8* %arrayidx22, align 1, !dbg !63"
0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;0;314;0;1;0;0;0;0;0;0;0;0;32;0;1;0;1;0;1;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 ;"  %conv23 = zext i8 %7 to i32, !dbg !63"
0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;314;0;1;0;0;0;0;0;0;0;0;32;0;1;1;1;1;1;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 ;"  %or24 = or i32 %or21, %conv23, !dbg !63"
