x y z
0 0 60
1 0 60
2 0 60
3 0 60
4 0 60
5 0 60
6 0 60
7 0 60
8 0 60
9 0 60
10 0 60
11 0 60
12 0 60
13 0 60
14 0 60
15 0 60
16 0 60
17 0 60
18 0 60
19 0 60
20 0 0
21 0 0
22 0 0
23 0 60
24 0 60
25 0 60
26 0 60
27 0 60
28 0 60
29 0 60
30 0 60
31 0 60
32 0 60
33 0 60
34 0 60
35 0 60
36 0 60
37 0 60
38 0 60
39 0 60
40 0 60
41 0 60
42 0 60
43 0 60
44 0 60
45 0 60
46 0 60
47 0 60
48 0 60
49 0 60
50 0 60
0 1 60
1 1 60
2 1 60
3 1 60
4 1 60
5 1 60
6 1 60
7 1 60
8 1 60
9 1 60
10 1 60
11 1 60
12 1 60
13 1 60
14 1 60
15 1 60
16 1 60
17 1 60
18 1 60
19 1 60
20 1 60
21 1 60
22 1 60
23 1 60
24 1 60
25 1 60
26 1 60
27 1 60
28 1 60
29 1 60
30 1 60
31 1 60
32 1 60
33 1 60
34 1 60
35 1 60
36 1 60
37 1 60
38 1 60
39 1 60
40 1 60
41 1 60
42 1 60
43 1 60
44 1 60
45 1 60
46 1 60
47 1 60
48 1 60
49 1 60
50 1 60
0 2 60
1 2 60
2 2 60
3 2 60
4 2 60
5 2 60
6 2 60
7 2 60
8 2 60
9 2 60
10 2 60
11 2 60
12 2 60
13 2 60
14 2 60
15 2 60
16 2 60
17 2 60
18 2 60
19 2 60
20 2 60
21 2 60
22 2 60
23 2 60
24 2 60
25 2 60
26 2 60
27 2 60
28 2 60
29 2 60
30 2 60
31 2 60
32 2 60
33 2 60
34 2 60
35 2 60
36 2 60
37 2 60
38 2 60
39 2 60
40 2 60
41 2 60
42 2 60
43 2 60
44 2 60
45 2 60
46 2 60
47 2 60
48 2 60
49 2 60
50 2 60
0 3 60
1 3 60
2 3 60
3 3 60
4 3 60
5 3 60
6 3 60
7 3 60
8 3 60
9 3 60
10 3 60
11 3 60
12 3 60
13 3 60
14 3 60
15 3 60
16 3 60
17 3 60
18 3 60
19 3 60
20 3 60
21 3 60
22 3 60
23 3 60
24 3 60
25 3 60
26 3 60
27 3 60
28 3 60
29 3 60
30 3 60
31 3 60
32 3 60
33 3 60
34 3 60
35 3 60
36 3 60
37 3 60
38 3 60
39 3 60
40 3 60
41 3 60
42 3 60
43 3 60
44 3 60
45 3 60
46 3 60
47 3 60
48 3 60
49 3 60
50 3 60
0 4 60
1 4 60
2 4 60
3 4 60
4 4 60
5 4 60
6 4 60
7 4 60
8 4 60
9 4 60
10 4 60
11 4 60
12 4 60
13 4 60
14 4 60
15 4 60
16 4 60
17 4 60
18 4 60
19 4 60
20 4 60
21 4 60
22 4 60
23 4 60
24 4 60
25 4 60
26 4 60
27 4 60
28 4 60
29 4 60
30 4 60
31 4 60
32 4 60
33 4 60
34 4 60
35 4 60
36 4 60
37 4 60
38 4 60
39 4 60
40 4 60
41 4 60
42 4 60
43 4 60
44 4 60
45 4 60
46 4 60
47 4 60
48 4 60
49 4 60
50 4 60
0 5 60
1 5 60
2 5 60
3 5 60
4 5 60
5 5 60
6 5 60
7 5 60
8 5 60
9 5 60
10 5 60
11 5 60
12 5 60
13 5 60
14 5 60
15 5 60
16 5 60
17 5 60
18 5 60
19 5 60
20 5 60
21 5 60
22 5 60
23 5 60
24 5 60
25 5 60
26 5 60
27 5 60
28 5 60
29 5 60
30 5 60
31 5 60
32 5 60
33 5 60
34 5 60
35 5 60
36 5 60
37 5 60
38 5 60
39 5 60
40 5 60
41 5 60
42 5 60
43 5 60
44 5 60
45 5 60
46 5 60
47 5 60
48 5 60
49 5 60
50 5 60
0 6 60
1 6 60
2 6 60
3 6 60
4 6 60
5 6 60
6 6 60
7 6 60
8 6 60
9 6 60
10 6 60
11 6 60
12 6 60
13 6 60
14 6 60
15 6 60
16 6 60
17 6 60
18 6 60
19 6 60
20 6 60
21 6 60
22 6 60
23 6 60
24 6 60
25 6 60
26 6 60
27 6 60
28 6 60
29 6 60
30 6 60
31 6 60
32 6 60
33 6 60
34 6 60
35 6 60
36 6 60
37 6 60
38 6 60
39 6 60
40 6 60
41 6 60
42 6 60
43 6 60
44 6 60
45 6 60
46 6 60
47 6 60
48 6 60
49 6 60
50 6 60
0 7 60
1 7 60
2 7 60
3 7 60
