x y z
0 0 1
1 0 1
2 0 1
3 0 6
4 0 6
5 0 1
6 0 1
7 0 1
8 0 6
9 0 6
10 0 1
11 0 1
12 0 1
13 0 6
14 0 6
15 0 1
16 0 1
17 0 1
18 0 6
19 0 6
20 0 0
21 0 0
22 0 0
23 0 1
24 0 1
25 0 1
26 0 6
27 0 6
28 0 1
29 0 1
30 0 1
31 0 6
32 0 6
33 0 1
34 0 1
35 0 1
36 0 6
37 0 6
38 0 1
39 0 1
40 0 1
41 0 6
42 0 6
43 0 6
44 0 6
45 0 6
46 0 6
47 0 6
48 0 6
49 0 6
50 0 6

0 1 7
1 1 7
2 1 7
3 1 42
4 1 42
5 1 7
6 1 7
7 1 7
8 1 42
9 1 42
10 1 7
11 1 7
12 1 7
13 1 42
14 1 42
15 1 7
16 1 7
17 1 7
18 1 42
19 1 42
20 1 6
21 1 6
22 1 6
23 1 6
24 1 6
25 1 6
26 1 36
27 1 36
28 1 6
29 1 6
30 1 6
31 1 36
32 1 36
33 1 6
34 1 6
35 1 6
36 1 36
37 1 36
38 1 6
39 1 6
40 1 6
41 1 36
42 1 36
43 1 42
44 1 42
45 1 42
46 1 36
47 1 36
48 1 36
49 1 36
50 1 36

0 2 36
1 2 36
2 2 36
3 2 60
4 2 60
5 2 36
6 2 36
7 2 36
8 2 60
9 2 60
10 2 36
11 2 36
12 2 36
13 2 60
14 2 60
15 2 36
16 2 36
17 2 36
18 2 60
19 2 60
20 2 36
21 2 36
22 2 36
23 2 36
24 2 36
25 2 36
26 2 60
27 2 60
28 2 36
29 2 36
30 2 36
31 2 60
32 2 60
33 2 36
34 2 36
35 2 36
36 2 60
37 2 60
38 2 36
39 2 36
40 2 36
41 2 60
42 2 60
43 2 60
44 2 60
45 2 60
46 2 60
47 2 60
48 2 60
49 2 60
50 2 60

0 3 60
1 3 60
2 3 60
3 3 60
4 3 60
5 3 60
6 3 60
7 3 60
8 3 60
9 3 60
10 3 60
11 3 60
12 3 60
13 3 60
14 3 60
15 3 60
16 3 60
17 3 60
18 3 60
19 3 60
20 3 60
21 3 60
22 3 60
23 3 60
24 3 60
25 3 60
26 3 60
27 3 60
28 3 60
29 3 60
30 3 60
31 3 60
32 3 60
33 3 60
34 3 60
35 3 60
36 3 60
37 3 60
38 3 60
39 3 60
40 3 60
41 3 60
42 3 60
43 3 36
44 3 36
45 3 36
46 3 36
47 3 36
48 3 36
49 3 36
50 3 60

0 4 60
1 4 60
2 4 60
3 4 60
4 4 60
5 4 60
6 4 60
7 4 60
8 4 60
9 4 60
10 4 60
11 4 60
12 4 60
13 4 60
14 4 60
15 4 60
16 4 60
17 4 60
18 4 60
19 4 60
20 4 60
21 4 60
22 4 60
23 4 60
24 4 60
25 4 60
26 4 60
27 4 60
28 4 60
29 4 60
30 4 60
31 4 60
32 4 60
33 4 60
34 4 60
35 4 60
36 4 60
37 4 60
38 4 60
39 4 60
40 4 60
41 4 60
42 4 60
43 4 60
44 4 60
45 4 60
46 4 60
47 4 60
48 4 60
49 4 60
50 4 60

0 5 60
1 5 60
2 5 60
3 5 60
4 5 60
5 5 60
6 5 60
7 5 60
8 5 60
9 5 60
10 5 60
11 5 60
12 5 60
13 5 60
14 5 60
15 5 60
16 5 60
17 5 60
18 5 60
19 5 60
20 5 60
21 5 60
22 5 60
23 5 60
24 5 60
25 5 60
26 5 60
27 5 60
28 5 60
29 5 60
30 5 60
31 5 60
32 5 60
33 5 60
34 5 60
35 5 60
36 5 60
37 5 60
38 5 60
39 5 60
40 5 60
41 5 60
42 5 60
43 5 60
44 5 60
45 5 60
46 5 60
47 5 60
48 5 60
49 5 60
50 5 60

0 6 60
1 6 60
2 6 60
3 6 60
4 6 60
5 6 60
6 6 60
7 6 60
8 6 60
9 6 60
10 6 60
11 6 60
12 6 60
13 6 60
14 6 60
15 6 60
16 6 60
17 6 60
18 6 60
19 6 60
20 6 60
21 6 60
22 6 60
23 6 60
24 6 60
25 6 60
26 6 60
27 6 60
28 6 60
29 6 60
30 6 60
31 6 60
32 6 60
33 6 60
34 6 60
35 6 60
36 6 60
37 6 60
38 6 60
39 6 60
40 6 60
41 6 60
42 6 60
43 6 60
44 6 60
45 6 60
46 6 60
47 6 60
48 6 60
49 6 60
50 6 60

0 7 60
1 7 60
2 7 60
3 7 60
4 7 60
5 7 60
6 7 60
7 7 60
8 7 60
9 7 60
10 7 60
11 7 60
12 7 60
13 7 60
14 7 60
15 7 60
16 7 60
17 7 60
18 7 60
19 7 60
20 7 60
21 7 60
22 7 60
23 7 60
24 7 60
25 7 60
26 7 60
27 7 60
28 7 60
29 7 60
30 7 60
31 7 60
32 7 60
33 7 60
34 7 60
35 7 60
36 7 60
37 7 60
38 7 60
39 7 60
40 7 60
41 7 60
42 7 60
43 7 60
44 7 60
45 7 60
46 7 60
47 7 60
48 7 60
49 7 60
50 7 60

0 8 60
1 8 60
2 8 60
3 8 60
4 8 60
5 8 60
6 8 60
7 8 60
8 8 60
