Pre_Max;Pre_Min;Pre_MinNZ;Pre_Avg;Pre_AvgNZ;Post_Max;Post_Min;Post_MinNZ;Post_Avg;Post_AvgNZ;Min_MinNZ;Plaintext;PTHeight;CTHeight;ToBeProtected_pre;ToBeProtected_post;ToBeProtected;SourceLine;SourceColumn;IsAKeyOp;IsAKeyStart;PreKeyStart;SubKey;PostKeyStart;Sbox;post_FirstToMeetKey;HasBeenMasked;Origin;ValueSize;keydep_own.count;KD_Max;KD_Min;KD_MinNZ;KD_Avg;KD_AvgNZ;FK_min;FOH_of_fk_min;BYTE_FK_min;BYTE_FOH_of_fk_min;WORD_FK_min;WORD_FOH_of_fk_minpre;pre_own;post;post_own;"Full instruction"
0;0;0;0;0;0;0;0;0;0;0;0;0;4294967295;0;0;0;519;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"  tail call void @llvm.crypto.key(metadata !{i32* %_key}), !dbg !23"
0;0;0;0;0;0;0;0;0;0;0;0;0;4294967295;0;0;0;519;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"  tail call void @llvm.crypto.plain(metadata !{i32* %_plaintext}), !dbg !23"
0;0;0;0;0;0;0;0;0;0;0;0;0;122;0;0;0;532;0;1;1;0;0;0;0;0;0;0;32;32;1;1;1;1;1;0;0;0;0;0;0;128;128;128;130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 ;"  %0 = load i32* %_key, align 4, !dbg !44"
0;0;0;0;0;0;0;0;0;0;0;0;0;124;0;0;0;532;0;1;1;0;0;0;0;0;0;0;32;32;0;0;0;0;0;0;0;0;0;0;0;128;128;128;130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 ;"  %arrayidx4 = getelementptr inbounds i32* %_key, i64 1, !dbg !44"
0;0;0;0;0;0;0;0;0;0;0;0;0;123;0;0;0;532;0;1;0;0;0;0;0;0;0;0;32;0;1;1;1;1;1;0;0;0;0;0;0;128;128;128;130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 ;"  %1 = load i32* %arrayidx4, align 4, !dbg !44"
0;0;0;0;0;0;0;0;0;0;0;0;0;124;0;0;0;532;0;1;1;0;0;0;0;0;0;0;32;32;0;0;0;0;0;0;0;0;0;0;0;128;128;128;130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 ;"  %arrayidx9 = getelementptr inbounds i32* %_key, i64 2, !dbg !44"
0;0;0;0;0;0;0;0;0;0;0;0;0;123;0;0;0;532;0;1;0;0;0;0;0;0;0;0;32;0;1;1;1;1;1;0;0;0;0;0;0;128;128;128;130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 ;"  %2 = load i32* %arrayidx9, align 4, !dbg !44"
0;0;0;0;0;0;0;0;0;0;0;0;0;123;0;0;0;532;0;1;1;0;0;0;0;0;0;0;32;32;0;0;0;0;0;0;0;0;0;0;0;128;128;128;130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 ;"  %arrayidx14 = getelementptr inbounds i32* %_key, i64 3, !dbg !44"
0;0;0;0;0;0;0;0;0;0;0;0;0;122;0;0;0;532;0;1;0;0;0;0;0;0;0;0;32;0;1;1;1;1;1;0;0;0;0;0;0;128;128;128;130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 ;"  %3 = load i32* %arrayidx14, align 4, !dbg !44"
0;0;0;0;0;0;0;0;0;0;0;0;0;121;0;0;0;540;0;1;0;0;0;0;0;0;0;0;32;0;2;2;2;2;2;0;0;0;0;0;0;128;128;128;130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 ;"  %xor48 = xor i32 %3, %0, !dbg !56"
0;0;0;0;0;0;0;0;0;0;0;0;0;120;0;0;0;540;0;1;0;0;0;0;0;0;0;0;64;0;2;0;2;1;2;0;0;0;0;0;0;128;128;0;130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 ;"  %conv49 = zext i32 %xor48 to i64, !dbg !56"
0;0;0;0;0;0;0;0;0;0;0;0;0;119;0;0;0;540;0;1;0;0;0;0;0;0;0;0;64;0;2;0;2;1;2;0;0;0;0;0;0;128;128;0;130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 ;"  %xor50 = xor i64 %conv49, 2654435769, !dbg !56"
0;0;0;0;0;0;0;0;0;0;0;0;0;118;0;0;0;540;0;1;0;0;0;0;0;0;0;0;64;0;2;0;2;1;2;0;0;0;0;0;0;128;128;0;130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 ;"  %shl = shl nuw nsw i64 %xor50, 11, !dbg !56"
0;0;0;0;0;0;0;0;0;0;0;0;0;118;0;0;0;540;0;1;0;0;0;0;0;0;0;0;64;0;2;0;2;0;2;0;0;0;0;0;0;128;128;0;130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 130879 ;"  %shr = lshr i64 %xor50, 21, !dbg !56"
